experiment_id,dimension_tested,family,is_anchor,lookback_window_days,max_total_crypto_weight,rebalance_frequency,covariance_method,sample_scope_supported,benchmark_policy,transaction_cost_model,explicitly_out_of_scope,reused_result_from
baseline_ch1,anchor,anchors,True,252,0.2,monthly,sample,"native,common_family",min_variance_only_benchmarks_deferred,cost_t=turnover_one_way_t*cost_rate_post_processing,"asset_level_spreads,slippage,market_impact,asset_class_specific_costs",
minvar_no_crypto_control,anchor,anchors,True,252,0.0,monthly,sample,"native,common_family",min_variance_only_benchmarks_deferred,cost_t=turnover_one_way_t*cost_rate_post_processing,"asset_level_spreads,slippage,market_impact,asset_class_specific_costs",
lookback_126,lookback,lookback,False,126,0.2,monthly,sample,"native,common_family",min_variance_only_benchmarks_deferred,cost_t=turnover_one_way_t*cost_rate_post_processing,"asset_level_spreads,slippage,market_impact,asset_class_specific_costs",
lookback_252,lookback,lookback,False,252,0.2,monthly,sample,"native,common_family",min_variance_only_benchmarks_deferred,cost_t=turnover_one_way_t*cost_rate_post_processing,"asset_level_spreads,slippage,market_impact,asset_class_specific_costs",baseline_ch1
lookback_504,lookback,lookback,False,504,0.2,monthly,sample,"native,common_family",min_variance_only_benchmarks_deferred,cost_t=turnover_one_way_t*cost_rate_post_processing,"asset_level_spreads,slippage,market_impact,asset_class_specific_costs",
crypto_cap_0_00,crypto_cap,crypto_cap,False,252,0.0,monthly,sample,"native,common_family",min_variance_only_benchmarks_deferred,cost_t=turnover_one_way_t*cost_rate_post_processing,"asset_level_spreads,slippage,market_impact,asset_class_specific_costs",minvar_no_crypto_control
crypto_cap_0_10,crypto_cap,crypto_cap,False,252,0.1,monthly,sample,"native,common_family",min_variance_only_benchmarks_deferred,cost_t=turnover_one_way_t*cost_rate_post_processing,"asset_level_spreads,slippage,market_impact,asset_class_specific_costs",
crypto_cap_0_20,crypto_cap,crypto_cap,False,252,0.2,monthly,sample,"native,common_family",min_variance_only_benchmarks_deferred,cost_t=turnover_one_way_t*cost_rate_post_processing,"asset_level_spreads,slippage,market_impact,asset_class_specific_costs",baseline_ch1
crypto_cap_0_25,crypto_cap,crypto_cap,False,252,0.25,monthly,sample,"native,common_family",min_variance_only_benchmarks_deferred,cost_t=turnover_one_way_t*cost_rate_post_processing,"asset_level_spreads,slippage,market_impact,asset_class_specific_costs",
rebalance_monthly,rebalance_frequency,rebalance,False,252,0.2,monthly,sample,"native,common_family",min_variance_only_benchmarks_deferred,cost_t=turnover_one_way_t*cost_rate_post_processing,"asset_level_spreads,slippage,market_impact,asset_class_specific_costs",baseline_ch1
rebalance_quarterly,rebalance_frequency,rebalance,False,252,0.2,quarterly,sample,"native,common_family",min_variance_only_benchmarks_deferred,cost_t=turnover_one_way_t*cost_rate_post_processing,"asset_level_spreads,slippage,market_impact,asset_class_specific_costs",
covariance_sample_baseline_ch1,covariance_method,covariance_method,False,252,0.2,monthly,sample,"native,common_family",min_variance_only_benchmarks_deferred,cost_t=turnover_one_way_t*cost_rate_post_processing,"asset_level_spreads,slippage,market_impact,asset_class_specific_costs",baseline_ch1
covariance_sample_minvar_no_crypto_control,covariance_method,covariance_method,False,252,0.0,monthly,sample,"native,common_family",min_variance_only_benchmarks_deferred,cost_t=turnover_one_way_t*cost_rate_post_processing,"asset_level_spreads,slippage,market_impact,asset_class_specific_costs",minvar_no_crypto_control
covariance_ledoit_wolf_baseline_ch1,covariance_method,covariance_method,False,252,0.2,monthly,ledoit_wolf,"native,common_family",min_variance_only_benchmarks_deferred,cost_t=turnover_one_way_t*cost_rate_post_processing,"asset_level_spreads,slippage,market_impact,asset_class_specific_costs",
covariance_ledoit_wolf_minvar_no_crypto_control,covariance_method,covariance_method,False,252,0.0,monthly,ledoit_wolf,"native,common_family",min_variance_only_benchmarks_deferred,cost_t=turnover_one_way_t*cost_rate_post_processing,"asset_level_spreads,slippage,market_impact,asset_class_specific_costs",
