target_col,task,model_name,n_samples,n_splits,n_predictions,status
target_portfolio_vol_21d,regression,naive_rolling_vol,1894,51,3213,ok
target_portfolio_vol_21d,regression,ewma,1894,51,3213,ok
target_portfolio_vol_21d,regression,ridge,1894,51,3213,ok
target_portfolio_vol_21d,regression,elastic_net,1894,51,3213,ok
target_portfolio_vol_21d,regression,random_forest,1894,51,3213,ok
target_portfolio_vol_63d,regression,naive_rolling_vol,1852,49,3087,ok
target_portfolio_vol_63d,regression,ewma,1852,49,3087,ok
target_portfolio_vol_63d,regression,ridge,1852,49,3087,ok
target_portfolio_vol_63d,regression,elastic_net,1852,49,3087,ok
target_portfolio_vol_63d,regression,random_forest,1852,49,3087,ok
target_spy_vol_21d,regression,naive_rolling_vol,2152,63,3969,ok
target_spy_vol_21d,regression,ewma,2152,63,3969,ok
target_spy_vol_21d,regression,ridge,2152,63,3969,ok
target_spy_vol_21d,regression,elastic_net,2152,63,3969,ok
target_spy_vol_21d,regression,random_forest,2152,63,3969,ok
target_btc_vol_21d,regression,naive_rolling_vol,2152,63,3969,ok
target_btc_vol_21d,regression,ewma,2152,63,3969,ok
target_btc_vol_21d,regression,ridge,2152,63,3969,ok
target_btc_vol_21d,regression,elastic_net,2152,63,3969,ok
target_btc_vol_21d,regression,random_forest,2152,63,3969,ok
target_spy_vol_63d,regression,naive_rolling_vol,2110,61,3843,ok
target_spy_vol_63d,regression,ewma,2110,61,3843,ok
target_spy_vol_63d,regression,ridge,2110,61,3843,ok
target_spy_vol_63d,regression,elastic_net,2110,61,3843,ok
target_spy_vol_63d,regression,random_forest,2110,61,3843,ok
target_btc_vol_63d,regression,naive_rolling_vol,2110,61,3843,ok
target_btc_vol_63d,regression,ewma,2110,61,3843,ok
target_btc_vol_63d,regression,ridge,2110,61,3843,ok
target_btc_vol_63d,regression,elastic_net,2110,61,3843,ok
target_btc_vol_63d,regression,random_forest,2110,61,3843,ok
target_portfolio_dd_21d,regression,naive_rolling_vol,2152,63,3969,ok
target_portfolio_dd_21d,regression,ewma,2152,63,3969,ok
target_portfolio_dd_21d,regression,ridge,2152,63,3969,ok
target_portfolio_dd_21d,regression,elastic_net,2152,63,3969,ok
target_portfolio_dd_21d,regression,random_forest,2152,63,3969,ok
target_portfolio_dd_63d,regression,naive_rolling_vol,2110,61,3843,ok
target_portfolio_dd_63d,regression,ewma,2110,61,3843,ok
target_portfolio_dd_63d,regression,ridge,2110,61,3843,ok
target_portfolio_dd_63d,regression,elastic_net,2110,61,3843,ok
target_portfolio_dd_63d,regression,random_forest,2110,61,3843,ok
target_portfolio_dd_event_21d,classification,logistic,2152,63,3969,ok
target_portfolio_dd_event_21d,classification,calibrated_logistic,2152,63,3969,ok
target_portfolio_dd_event_21d,classification,random_forest_classifier,2152,63,3969,ok
target_portfolio_dd_event_21d,classification,gradient_boosting_classifier,2152,63,3969,ok
target_portfolio_dd_event_63d,classification,logistic,2110,61,3843,ok
target_portfolio_dd_event_63d,classification,calibrated_logistic,2110,61,3843,ok
target_portfolio_dd_event_63d,classification,random_forest_classifier,2110,61,3843,ok
target_portfolio_dd_event_63d,classification,gradient_boosting_classifier,2110,61,3843,ok
target_btc_dd_event_21d,classification,logistic,2152,63,3969,ok
target_btc_dd_event_21d,classification,calibrated_logistic,2152,63,3969,ok
target_btc_dd_event_21d,classification,random_forest_classifier,2152,63,3969,ok
target_btc_dd_event_21d,classification,gradient_boosting_classifier,2152,63,3969,ok
target_stress_event_21d,classification,logistic,1894,51,3213,ok
target_stress_event_21d,classification,calibrated_logistic,1894,51,3213,ok
target_stress_event_21d,classification,gradient_boosting_classifier,1894,51,3213,ok
